"Test Information",Value
"RUN ID",489
"END EXECUTION TIME","2021-05-07 11:09:28"
"SOURCE PROBE NAME",raspberrypi-AAS
"SOURCE PROBE TEST IP ADDRESS",raspberrypi-AAS
"SOURCE PROBE MANAGEMENT IP ADDRESS",raspberrypi-AAS
"SOURCE PROBE GROUP",Administrators
"DESTINATION PROBE NAME",raspberrypi-5G
"DESTINATION PROBE TEST IP ADDRESS",raspberrypi-5G
"DESTINATION PROBE MANAGEMENT IP ADDRESS",raspberrypi-5G
"DESTINATION PROBE GROUP",Administrators
"DESTINATION PROBE LOCATION",
"TEST MODULE",MESH
"TEST TYPE","Network KPI"
"TEST ADDITIONAL INFORMATION"," DSCP Setting: Best Effort"
"TEST DURATION",120
"TEST STATUS",Failed
"FAIL OR ERROR REASON"," Threshold failed on KPI from->to Max Delay Variation (ms) 
"

Metric,"Pair Name",Value,"Threshold Type",Threshold,"Status KPI"
"Datagrams Out of Order","KPI from->to",0.0,0,>=,Passed
"Delay (ms)","KPI from->to",18.95,0,<=,Passed
"Jitter (ms)","KPI from->to",0.48,0,<=,Passed
"Jitter Max (ms)","KPI from->to",3.0,0,<=,Passed
Loss,"KPI from->to",0.02,0,<=,Passed
"Max Delay Variation (ms)","KPI from->to",56.0,0,<=,Failed
"Max loss burst","KPI from->to",1.0,0,<=,Passed
MOS,"KPI from->to",4.33,1,<=,Passed

Metric,"Pair Name",Timestamp,Value
"Max Delay Variation (ms)","KPI from->to",2,8
"Max Delay Variation (ms)","KPI from->to",4,7
"Max Delay Variation (ms)","KPI from->to",6,9
"Max Delay Variation (ms)","KPI from->to",8,2
"Max Delay Variation (ms)","KPI from->to",10,2
"Max Delay Variation (ms)","KPI from->to",12,8
"Max Delay Variation (ms)","KPI from->to",14,8
"Max Delay Variation (ms)","KPI from->to",16,17
"Max Delay Variation (ms)","KPI from->to",18,8
"Max Delay Variation (ms)","KPI from->to",20,9
"Max Delay Variation (ms)","KPI from->to",22,8
"Max Delay Variation (ms)","KPI from->to",24,24
"Max Delay Variation (ms)","KPI from->to",26,8
"Max Delay Variation (ms)","KPI from->to",28,3
"Max Delay Variation (ms)","KPI from->to",30,9
"Max Delay Variation (ms)","KPI from->to",32,2
"Max Delay Variation (ms)","KPI from->to",34,6
"Max Delay Variation (ms)","KPI from->to",36,5
"Max Delay Variation (ms)","KPI from->to",38,6
"Max Delay Variation (ms)","KPI from->to",40,11
"Max Delay Variation (ms)","KPI from->to",42,8
"Max Delay Variation (ms)","KPI from->to",44,9
"Max Delay Variation (ms)","KPI from->to",46,8
"Max Delay Variation (ms)","KPI from->to",48,9
"Max Delay Variation (ms)","KPI from->to",50,2
"Max Delay Variation (ms)","KPI from->to",52,16
"Max Delay Variation (ms)","KPI from->to",54,7
"Max Delay Variation (ms)","KPI from->to",56,21
"Max Delay Variation (ms)","KPI from->to",58,23
"Max Delay Variation (ms)","KPI from->to",60,2
"Max Delay Variation (ms)","KPI from->to",62,9
"Max Delay Variation (ms)","KPI from->to",64,8
"Max Delay Variation (ms)","KPI from->to",66,8
"Max Delay Variation (ms)","KPI from->to",68,56
"Max Delay Variation (ms)","KPI from->to",70,9
"Max Delay Variation (ms)","KPI from->to",72,9
"Max Delay Variation (ms)","KPI from->to",74,15
"Max Delay Variation (ms)","KPI from->to",76,4
"Max Delay Variation (ms)","KPI from->to",78,8
"Max Delay Variation (ms)","KPI from->to",80,9
"Max Delay Variation (ms)","KPI from->to",82,10
"Max Delay Variation (ms)","KPI from->to",84,9
"Max Delay Variation (ms)","KPI from->to",86,9
"Max Delay Variation (ms)","KPI from->to",88,6
"Max Delay Variation (ms)","KPI from->to",90,2
"Max Delay Variation (ms)","KPI from->to",92,9
"Max Delay Variation (ms)","KPI from->to",94,9
"Max Delay Variation (ms)","KPI from->to",96,8
"Max Delay Variation (ms)","KPI from->to",98,9
"Max Delay Variation (ms)","KPI from->to",100,8

Metric,"Pair Name",Timestamp,Value
"Max Delay Variation (ms)","KPI from->to",102,8
"Max Delay Variation (ms)","KPI from->to",104,15
"Max Delay Variation (ms)","KPI from->to",106,4
"Max Delay Variation (ms)","KPI from->to",108,9
"Max Delay Variation (ms)","KPI from->to",110,9
"Max Delay Variation (ms)","KPI from->to",112,8
"Max Delay Variation (ms)","KPI from->to",114,9
"Max Delay Variation (ms)","KPI from->to",116,14
"Max Delay Variation (ms)","KPI from->to",118,9
"Max Delay Variation (ms)","KPI from->to",120,9

Metric,"Pair Name",Timestamp,Value
Loss,"KPI from->to",2,0
Loss,"KPI from->to",4,0
Loss,"KPI from->to",6,0
Loss,"KPI from->to",8,0
Loss,"KPI from->to",10,0
Loss,"KPI from->to",12,0
Loss,"KPI from->to",14,0
Loss,"KPI from->to",16,0
Loss,"KPI from->to",18,0
Loss,"KPI from->to",20,0
Loss,"KPI from->to",22,0
Loss,"KPI from->to",24,0
Loss,"KPI from->to",26,0
Loss,"KPI from->to",28,0
Loss,"KPI from->to",30,0
Loss,"KPI from->to",32,0
Loss,"KPI from->to",34,0
Loss,"KPI from->to",36,0
Loss,"KPI from->to",38,0
Loss,"KPI from->to",40,1
Loss,"KPI from->to",42,0
Loss,"KPI from->to",44,0
Loss,"KPI from->to",46,0
Loss,"KPI from->to",48,0
Loss,"KPI from->to",50,0
Loss,"KPI from->to",52,0
Loss,"KPI from->to",54,0
Loss,"KPI from->to",56,0
Loss,"KPI from->to",58,0
Loss,"KPI from->to",60,0
Loss,"KPI from->to",62,0
Loss,"KPI from->to",64,0
Loss,"KPI from->to",66,0
Loss,"KPI from->to",68,0
Loss,"KPI from->to",70,0
Loss,"KPI from->to",72,0
Loss,"KPI from->to",74,0
Loss,"KPI from->to",76,0
Loss,"KPI from->to",78,0
Loss,"KPI from->to",80,0
Loss,"KPI from->to",82,0
Loss,"KPI from->to",84,0
Loss,"KPI from->to",86,0
Loss,"KPI from->to",88,0
Loss,"KPI from->to",90,0
Loss,"KPI from->to",92,0
Loss,"KPI from->to",94,0
Loss,"KPI from->to",96,0
Loss,"KPI from->to",98,0
Loss,"KPI from->to",100,0

Metric,"Pair Name",Timestamp,Value
"Delay (ms)","KPI from->to",2,17
"Delay (ms)","KPI from->to",4,17
"Delay (ms)","KPI from->to",6,17
"Delay (ms)","KPI from->to",8,20
"Delay (ms)","KPI from->to",10,21
"Delay (ms)","KPI from->to",12,22
"Delay (ms)","KPI from->to",14,20
"Delay (ms)","KPI from->to",16,20
"Delay (ms)","KPI from->to",18,20
"Delay (ms)","KPI from->to",20,19
"Delay (ms)","KPI from->to",22,18
"Delay (ms)","KPI from->to",24,19
"Delay (ms)","KPI from->to",26,19
"Delay (ms)","KPI from->to",28,19
"Delay (ms)","KPI from->to",30,17
"Delay (ms)","KPI from->to",32,18
"Delay (ms)","KPI from->to",34,19
"Delay (ms)","KPI from->to",36,17
"Delay (ms)","KPI from->to",38,17
"Delay (ms)","KPI from->to",40,18
"Delay (ms)","KPI from->to",42,20
"Delay (ms)","KPI from->to",44,20
"Delay (ms)","KPI from->to",46,21
"Delay (ms)","KPI from->to",48,19
"Delay (ms)","KPI from->to",50,20
"Delay (ms)","KPI from->to",52,20
"Delay (ms)","KPI from->to",54,19
"Delay (ms)","KPI from->to",56,19
"Delay (ms)","KPI from->to",58,20
"Delay (ms)","KPI from->to",60,19
"Delay (ms)","KPI from->to",62,19
"Delay (ms)","KPI from->to",64,19
"Delay (ms)","KPI from->to",66,20
"Delay (ms)","KPI from->to",68,21
"Delay (ms)","KPI from->to",70,19
"Delay (ms)","KPI from->to",72,18
"Delay (ms)","KPI from->to",74,19
"Delay (ms)","KPI from->to",76,19
"Delay (ms)","KPI from->to",78,21
"Delay (ms)","KPI from->to",80,20
"Delay (ms)","KPI from->to",82,20
"Delay (ms)","KPI from->to",84,19
"Delay (ms)","KPI from->to",86,18
"Delay (ms)","KPI from->to",88,18
"Delay (ms)","KPI from->to",90,20
"Delay (ms)","KPI from->to",92,20
"Delay (ms)","KPI from->to",94,20
"Delay (ms)","KPI from->to",96,19
"Delay (ms)","KPI from->to",98,18
"Delay (ms)","KPI from->to",100,17

Metric,"Pair Name",Timestamp,Value
"Jitter (ms)","KPI from->to",102,0
"Jitter (ms)","KPI from->to",104,0
"Jitter (ms)","KPI from->to",106,0
"Jitter (ms)","KPI from->to",108,0
"Jitter (ms)","KPI from->to",110,1
"Jitter (ms)","KPI from->to",112,0
"Jitter (ms)","KPI from->to",114,0
"Jitter (ms)","KPI from->to",116,2
"Jitter (ms)","KPI from->to",118,1
"Jitter (ms)","KPI from->to",120,0

Metric,"Pair Name",Timestamp,Value
"Delay (ms)","KPI from->to",102,17
"Delay (ms)","KPI from->to",104,16
"Delay (ms)","KPI from->to",106,19
"Delay (ms)","KPI from->to",108,18
"Delay (ms)","KPI from->to",110,19
"Delay (ms)","KPI from->to",112,18
"Delay (ms)","KPI from->to",114,19
"Delay (ms)","KPI from->to",116,18
"Delay (ms)","KPI from->to",118,20
"Delay (ms)","KPI from->to",120,18

Metric,"Pair Name",Timestamp,Value
"Jitter (ms)","KPI from->to",2,1
"Jitter (ms)","KPI from->to",4,0
"Jitter (ms)","KPI from->to",6,0
"Jitter (ms)","KPI from->to",8,0
"Jitter (ms)","KPI from->to",10,0
"Jitter (ms)","KPI from->to",12,0
"Jitter (ms)","KPI from->to",14,0
"Jitter (ms)","KPI from->to",16,1
"Jitter (ms)","KPI from->to",18,0
"Jitter (ms)","KPI from->to",20,0
"Jitter (ms)","KPI from->to",22,1
"Jitter (ms)","KPI from->to",24,0
"Jitter (ms)","KPI from->to",26,0
"Jitter (ms)","KPI from->to",28,0
"Jitter (ms)","KPI from->to",30,0
"Jitter (ms)","KPI from->to",32,0
"Jitter (ms)","KPI from->to",34,0
"Jitter (ms)","KPI from->to",36,1
"Jitter (ms)","KPI from->to",38,0
"Jitter (ms)","KPI from->to",40,3
"Jitter (ms)","KPI from->to",42,1
"Jitter (ms)","KPI from->to",44,1
"Jitter (ms)","KPI from->to",46,1
"Jitter (ms)","KPI from->to",48,0
"Jitter (ms)","KPI from->to",50,0
"Jitter (ms)","KPI from->to",52,0
"Jitter (ms)","KPI from->to",54,1
"Jitter (ms)","KPI from->to",56,1
"Jitter (ms)","KPI from->to",58,1
"Jitter (ms)","KPI from->to",60,0
"Jitter (ms)","KPI from->to",62,0
"Jitter (ms)","KPI from->to",64,0
"Jitter (ms)","KPI from->to",66,1
"Jitter (ms)","KPI from->to",68,0
"Jitter (ms)","KPI from->to",70,0
"Jitter (ms)","KPI from->to",72,1
"Jitter (ms)","KPI from->to",74,0
"Jitter (ms)","KPI from->to",76,0
"Jitter (ms)","KPI from->to",78,1
"Jitter (ms)","KPI from->to",80,1
"Jitter (ms)","KPI from->to",82,1
"Jitter (ms)","KPI from->to",84,1
"Jitter (ms)","KPI from->to",86,0
"Jitter (ms)","KPI from->to",88,0
"Jitter (ms)","KPI from->to",90,0
"Jitter (ms)","KPI from->to",92,1
"Jitter (ms)","KPI from->to",94,2
"Jitter (ms)","KPI from->to",96,2
"Jitter (ms)","KPI from->to",98,0
"Jitter (ms)","KPI from->to",100,1

Metric,"Pair Name",Timestamp,Value
Loss,"KPI from->to",102,0
Loss,"KPI from->to",104,0
