"Test Information",Value
"RUN ID",489
"END EXECUTION TIME","2021-05-07 11:16:09"
"SOURCE PROBE NAME",raspberrypi-AAS
"SOURCE PROBE TEST IP ADDRESS",raspberrypi-AAS
"SOURCE PROBE MANAGEMENT IP ADDRESS",raspberrypi-AAS
"SOURCE PROBE GROUP",Administrators
"DESTINATION PROBE NAME",andreas
"DESTINATION PROBE TEST IP ADDRESS",andreas
"DESTINATION PROBE MANAGEMENT IP ADDRESS",andreas
"DESTINATION PROBE GROUP",Administrators
"DESTINATION PROBE LOCATION",
"TEST MODULE",MESH
"TEST TYPE","Network KPI"
"TEST ADDITIONAL INFORMATION"," DSCP Setting: Best Effort"
"TEST DURATION",120
"TEST STATUS",Failed
"FAIL OR ERROR REASON"," Threshold failed on KPI from->to Max Delay Variation (ms) 
"

Metric,"Pair Name",Value,"Threshold Type",Threshold,"Status KPI"
"Datagrams Out of Order","KPI from->to",0.0,0,>=,Passed
"Delay (ms)","KPI from->to",0.44,0,<=,Passed
"Jitter (ms)","KPI from->to",0.3,0,<=,Passed
"Jitter Max (ms)","KPI from->to",4.0,0,<=,Passed
Loss,"KPI from->to",0.0,0,<=,Passed
"Max Delay Variation (ms)","KPI from->to",48.0,0,<=,Failed
"Max loss burst","KPI from->to",0.0,0,<=,Passed
MOS,"KPI from->to",4.27,1,<=,Passed
"Wi-Fi RSSI Average","Wi-Fi andreas",-39.0,-1,<=,Passed
"Wi-Fi RSSI Minimum","Wi-Fi andreas",-43.0,-1,<=,Passed
"Wi-Fi RSSI Maximum","Wi-Fi andreas",-35.0,-1,<=,Passed
"Wi-Fi Link Speed Average (Mbps)","Wi-Fi andreas",168.16949152542372,-1,<=,Passed
"Wi-Fi BSSID","Wi-Fi andreas",fc:5b:39:c7:c3:4f,,,Passed
"Wi-Fi SSID","Wi-Fi andreas",eduroam,,,Passed

Metric,"Pair Name",Timestamp,Value
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",2,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",4,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",6,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",8,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",10,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",12,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",14,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",16,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",18,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",20,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",22,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",24,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",26,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",28,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",30,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",32,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",34,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",36,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",38,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",40,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",42,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",44,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",46,144
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",48,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",50,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",52,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",54,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",56,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",58,144
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",60,144
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",62,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",64,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",66,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",68,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",70,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",72,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",74,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",76,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",78,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",80,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",82,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",84,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",86,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",88,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",90,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",92,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",94,156
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",96,156
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",98,156
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",100,156

Metric,"Pair Name",Timestamp,Value
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",102,130
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",104,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",106,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",108,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",110,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",112,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",114,144
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",116,144
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",118,144

Metric,"Pair Name",Timestamp,Value
"Jitter (ms)","KPI from->to",2,0
"Jitter (ms)","KPI from->to",4,0
"Jitter (ms)","KPI from->to",6,0
"Jitter (ms)","KPI from->to",8,0
"Jitter (ms)","KPI from->to",10,0
"Jitter (ms)","KPI from->to",12,0
"Jitter (ms)","KPI from->to",14,1
"Jitter (ms)","KPI from->to",16,0
"Jitter (ms)","KPI from->to",18,1
"Jitter (ms)","KPI from->to",20,1
"Jitter (ms)","KPI from->to",22,0
"Jitter (ms)","KPI from->to",24,1
"Jitter (ms)","KPI from->to",26,0
"Jitter (ms)","KPI from->to",28,0
"Jitter (ms)","KPI from->to",30,0
"Jitter (ms)","KPI from->to",32,3
"Jitter (ms)","KPI from->to",34,0
"Jitter (ms)","KPI from->to",36,0
"Jitter (ms)","KPI from->to",38,0
"Jitter (ms)","KPI from->to",40,0
"Jitter (ms)","KPI from->to",42,0
"Jitter (ms)","KPI from->to",44,0
"Jitter (ms)","KPI from->to",46,4
"Jitter (ms)","KPI from->to",48,1
"Jitter (ms)","KPI from->to",50,0
"Jitter (ms)","KPI from->to",52,0
"Jitter (ms)","KPI from->to",54,0
"Jitter (ms)","KPI from->to",56,0
"Jitter (ms)","KPI from->to",58,0
"Jitter (ms)","KPI from->to",60,0
"Jitter (ms)","KPI from->to",62,0
"Jitter (ms)","KPI from->to",64,0
"Jitter (ms)","KPI from->to",66,0
"Jitter (ms)","KPI from->to",68,0
"Jitter (ms)","KPI from->to",70,0
"Jitter (ms)","KPI from->to",72,0
"Jitter (ms)","KPI from->to",74,0
"Jitter (ms)","KPI from->to",76,0
"Jitter (ms)","KPI from->to",78,0
"Jitter (ms)","KPI from->to",80,1
"Jitter (ms)","KPI from->to",82,0
"Jitter (ms)","KPI from->to",84,0
"Jitter (ms)","KPI from->to",86,0
"Jitter (ms)","KPI from->to",88,0
"Jitter (ms)","KPI from->to",90,0
"Jitter (ms)","KPI from->to",92,0
"Jitter (ms)","KPI from->to",94,0
"Jitter (ms)","KPI from->to",96,0
"Jitter (ms)","KPI from->to",98,0
"Jitter (ms)","KPI from->to",100,0

Metric,"Pair Name",Timestamp,Value
MOS,"KPI from->to",102,3.51
MOS,"KPI from->to",104,4.37
MOS,"KPI from->to",106,4.37
MOS,"KPI from->to",108,4.37
MOS,"KPI from->to",110,4.37
MOS,"KPI from->to",112,4.37
MOS,"KPI from->to",114,3.51
MOS,"KPI from->to",116,4.37
MOS,"KPI from->to",118,4.37

Metric,"Pair Name",Timestamp,Value
"Delay (ms)","KPI from->to",102,1
"Delay (ms)","KPI from->to",104,0
"Delay (ms)","KPI from->to",106,0
"Delay (ms)","KPI from->to",108,0
"Delay (ms)","KPI from->to",110,0
"Delay (ms)","KPI from->to",112,0
"Delay (ms)","KPI from->to",114,1
"Delay (ms)","KPI from->to",116,0
"Delay (ms)","KPI from->to",118,0

Metric,"Pair Name",Timestamp,Value
Loss,"KPI from->to",2,0
Loss,"KPI from->to",4,0
Loss,"KPI from->to",6,0
Loss,"KPI from->to",8,0
Loss,"KPI from->to",10,0
Loss,"KPI from->to",12,0
Loss,"KPI from->to",14,0
Loss,"KPI from->to",16,0
Loss,"KPI from->to",18,0
Loss,"KPI from->to",20,0
Loss,"KPI from->to",22,0
Loss,"KPI from->to",24,0
Loss,"KPI from->to",26,0
Loss,"KPI from->to",28,0
Loss,"KPI from->to",30,0
Loss,"KPI from->to",32,0
Loss,"KPI from->to",34,0
Loss,"KPI from->to",36,0
Loss,"KPI from->to",38,0
Loss,"KPI from->to",40,0
Loss,"KPI from->to",42,0
Loss,"KPI from->to",44,0
Loss,"KPI from->to",46,0
Loss,"KPI from->to",48,0
Loss,"KPI from->to",50,0
Loss,"KPI from->to",52,0
Loss,"KPI from->to",54,0
Loss,"KPI from->to",56,0
Loss,"KPI from->to",58,0
Loss,"KPI from->to",60,0
Loss,"KPI from->to",62,0
Loss,"KPI from->to",64,0
Loss,"KPI from->to",66,0
Loss,"KPI from->to",68,0
Loss,"KPI from->to",70,0
Loss,"KPI from->to",72,0
Loss,"KPI from->to",74,0
Loss,"KPI from->to",76,0
Loss,"KPI from->to",78,0
Loss,"KPI from->to",80,0
Loss,"KPI from->to",82,0
Loss,"KPI from->to",84,0
Loss,"KPI from->to",86,0
Loss,"KPI from->to",88,0
Loss,"KPI from->to",90,0
Loss,"KPI from->to",92,0
Loss,"KPI from->to",94,0
Loss,"KPI from->to",96,0
Loss,"KPI from->to",98,0
Loss,"KPI from->to",100,0

Metric,"Pair Name",Timestamp,Value
"Max Delay Variation (ms)","KPI from->to",102,43
"Max Delay Variation (ms)","KPI from->to",104,2
"Max Delay Variation (ms)","KPI from->to",106,3
"Max Delay Variation (ms)","KPI from->to",108,2
"Max Delay Variation (ms)","KPI from->to",110,3
"Max Delay Variation (ms)","KPI from->to",112,3
"Max Delay Variation (ms)","KPI from->to",114,48
"Max Delay Variation (ms)","KPI from->to",116,3
"Max Delay Variation (ms)","KPI from->to",118,3

Metric,"Pair Name",Timestamp,Value
MOS,"KPI from->to",2,3.51
MOS,"KPI from->to",4,4.37
MOS,"KPI from->to",6,4.37
MOS,"KPI from->to",8,4.37
MOS,"KPI from->to",10,4.37
MOS,"KPI from->to",12,4.37
MOS,"KPI from->to",14,3.49
MOS,"KPI from->to",16,4.37
MOS,"KPI from->to",18,4.37
MOS,"KPI from->to",20,4.37
MOS,"KPI from->to",22,4.37
MOS,"KPI from->to",24,4.37
MOS,"KPI from->to",26,4.37
MOS,"KPI from->to",28,4.37
MOS,"KPI from->to",30,4.37
MOS,"KPI from->to",32,4.37
MOS,"KPI from->to",34,4.37
MOS,"KPI from->to",36,3.51
MOS,"KPI from->to",38,4.37
MOS,"KPI from->to",40,4.37
MOS,"KPI from->to",42,4.37
MOS,"KPI from->to",44,4.37
MOS,"KPI from->to",46,4.37
MOS,"KPI from->to",48,4.37
MOS,"KPI from->to",50,4.37
MOS,"KPI from->to",52,4.37
MOS,"KPI from->to",54,4.37
MOS,"KPI from->to",56,4.37
MOS,"KPI from->to",58,3.5
MOS,"KPI from->to",60,4.37
MOS,"KPI from->to",62,4.37
MOS,"KPI from->to",64,4.37
MOS,"KPI from->to",66,4.37
MOS,"KPI from->to",68,4.37
MOS,"KPI from->to",70,3.5
