"Test Information",Value
"RUN ID",489
"END EXECUTION TIME","2021-05-07 11:11:44"
"SOURCE PROBE NAME",andreas
"SOURCE PROBE TEST IP ADDRESS",andreas
"SOURCE PROBE MANAGEMENT IP ADDRESS",andreas
"SOURCE PROBE GROUP",Administrators
"DESTINATION PROBE NAME",raspberrypi-AAS
"DESTINATION PROBE TEST IP ADDRESS",raspberrypi-AAS
"DESTINATION PROBE MANAGEMENT IP ADDRESS",raspberrypi-AAS
"DESTINATION PROBE GROUP",Administrators
"DESTINATION PROBE LOCATION",
"TEST MODULE",MESH
"TEST TYPE","Network KPI"
"TEST ADDITIONAL INFORMATION"," DSCP Setting: Best Effort"
"TEST DURATION",120
"TEST STATUS",Failed
"FAIL OR ERROR REASON"," Threshold failed on KPI from->to Max Delay Variation (ms) 
"

Metric,"Pair Name",Value,"Threshold Type",Threshold,"Status KPI"
"Datagrams Out of Order","KPI from->to",0.0,0,>=,Passed
"Delay (ms)","KPI from->to",16.5,0,<=,Passed
"Jitter (ms)","KPI from->to",0.27,0,<=,Passed
"Jitter Max (ms)","KPI from->to",4.0,0,<=,Passed
Loss,"KPI from->to",0.03,0,<=,Passed
"Max Delay Variation (ms)","KPI from->to",54.0,0,<=,Failed
"Max loss burst","KPI from->to",1.0,0,<=,Passed
MOS,"KPI from->to",4.26,1,<=,Passed

Metric,"Pair Name",Timestamp,Value
Loss,"KPI from->to",102,0
Loss,"KPI from->to",104,0
Loss,"KPI from->to",106,0
Loss,"KPI from->to",108,0
Loss,"KPI from->to",110,0
Loss,"KPI from->to",112,0
Loss,"KPI from->to",114,0
Loss,"KPI from->to",116,0
Loss,"KPI from->to",118,0
Loss,"KPI from->to",120,0

Metric,"Pair Name",Timestamp,Value
"Delay (ms)","KPI from->to",2,18
"Delay (ms)","KPI from->to",4,19
"Delay (ms)","KPI from->to",6,19
"Delay (ms)","KPI from->to",8,19
"Delay (ms)","KPI from->to",10,20
"Delay (ms)","KPI from->to",12,19
"Delay (ms)","KPI from->to",14,19
"Delay (ms)","KPI from->to",16,19
"Delay (ms)","KPI from->to",18,19
"Delay (ms)","KPI from->to",20,19
"Delay (ms)","KPI from->to",22,20
"Delay (ms)","KPI from->to",24,19
"Delay (ms)","KPI from->to",26,19
"Delay (ms)","KPI from->to",28,19
"Delay (ms)","KPI from->to",30,19
"Delay (ms)","KPI from->to",32,19
"Delay (ms)","KPI from->to",34,20
"Delay (ms)","KPI from->to",36,19
"Delay (ms)","KPI from->to",38,19
"Delay (ms)","KPI from->to",40,19
"Delay (ms)","KPI from->to",42,19
"Delay (ms)","KPI from->to",44,20
"Delay (ms)","KPI from->to",46,19
"Delay (ms)","KPI from->to",48,19
"Delay (ms)","KPI from->to",50,19
"Delay (ms)","KPI from->to",52,19
"Delay (ms)","KPI from->to",54,19
"Delay (ms)","KPI from->to",56,19
"Delay (ms)","KPI from->to",58,19
"Delay (ms)","KPI from->to",60,19
"Delay (ms)","KPI from->to",62,19
"Delay (ms)","KPI from->to",64,19
"Delay (ms)","KPI from->to",66,19
"Delay (ms)","KPI from->to",68,19
"Delay (ms)","KPI from->to",70,19
"Delay (ms)","KPI from->to",72,19
"Delay (ms)","KPI from->to",74,19
