"Test Information",Value
"RUN ID",488
"END EXECUTION TIME","2021-05-07 10:55:24"
"SOURCE PROBE NAME",raspberrypi-AAS
"SOURCE PROBE TEST IP ADDRESS",raspberrypi-AAS
"SOURCE PROBE MANAGEMENT IP ADDRESS",raspberrypi-AAS
"SOURCE PROBE GROUP",Administrators
"DESTINATION PROBE NAME",andreas
"DESTINATION PROBE TEST IP ADDRESS",andreas
"DESTINATION PROBE MANAGEMENT IP ADDRESS",andreas
"DESTINATION PROBE GROUP",Administrators
"DESTINATION PROBE LOCATION",
"TEST MODULE",MESH
"TEST TYPE","Network KPI"
"TEST ADDITIONAL INFORMATION"," DSCP Setting: Best Effort"
"TEST DURATION",120
"TEST STATUS",Failed
"FAIL OR ERROR REASON"," Threshold failed on KPI from->to Jitter Max (ms) 
 Threshold failed on KPI from->to Max Delay Variation (ms) 
"

Metric,"Pair Name",Value,"Threshold Type",Threshold,"Status KPI"
"Datagrams Out of Order","KPI from->to",0.0,0,>=,Passed
"Delay (ms)","KPI from->to",2.44,0,<=,Passed
"Jitter (ms)","KPI from->to",0.88,0,<=,Passed
"Jitter Max (ms)","KPI from->to",7.0,0,<=,Failed
Loss,"KPI from->to",0.0,0,<=,Passed
"Max Delay Variation (ms)","KPI from->to",100.0,0,<=,Failed
"Max loss burst","KPI from->to",0.0,0,<=,Passed
MOS,"KPI from->to",4.27,1,<=,Passed
"Wi-Fi RSSI Average","Wi-Fi andreas",-40.0,-1,<=,Passed
"Wi-Fi RSSI Minimum","Wi-Fi andreas",-43.0,-1,<=,Passed
"Wi-Fi RSSI Maximum","Wi-Fi andreas",-36.0,-1,<=,Passed
"Wi-Fi Link Speed Average (Mbps)","Wi-Fi andreas",167.6271186440678,-1,<=,Passed
"Wi-Fi BSSID","Wi-Fi andreas",fc:5b:39:c7:c3:4f,,,Passed
"Wi-Fi SSID","Wi-Fi andreas",eduroam,,,Passed

Metric,"Pair Name",Timestamp,Value
"Jitter (ms)","KPI from->to",2,0
"Jitter (ms)","KPI from->to",4,1
"Jitter (ms)","KPI from->to",6,0
"Jitter (ms)","KPI from->to",8,0
"Jitter (ms)","KPI from->to",10,1
"Jitter (ms)","KPI from->to",12,0
"Jitter (ms)","KPI from->to",14,3
"Jitter (ms)","KPI from->to",16,0
"Jitter (ms)","KPI from->to",18,1
"Jitter (ms)","KPI from->to",20,0
"Jitter (ms)","KPI from->to",22,1
"Jitter (ms)","KPI from->to",24,0
"Jitter (ms)","KPI from->to",26,0
"Jitter (ms)","KPI from->to",28,0
"Jitter (ms)","KPI from->to",30,0
"Jitter (ms)","KPI from->to",32,0
"Jitter (ms)","KPI from->to",34,0
"Jitter (ms)","KPI from->to",36,0
"Jitter (ms)","KPI from->to",38,1
"Jitter (ms)","KPI from->to",40,1
"Jitter (ms)","KPI from->to",42,0
"Jitter (ms)","KPI from->to",44,0
"Jitter (ms)","KPI from->to",46,1
"Jitter (ms)","KPI from->to",48,1
"Jitter (ms)","KPI from->to",50,0
"Jitter (ms)","KPI from->to",52,0
"Jitter (ms)","KPI from->to",54,1
"Jitter (ms)","KPI from->to",56,0
"Jitter (ms)","KPI from->to",58,0
"Jitter (ms)","KPI from->to",60,1
"Jitter (ms)","KPI from->to",62,0
"Jitter (ms)","KPI from->to",64,0
"Jitter (ms)","KPI from->to",66,1
"Jitter (ms)","KPI from->to",68,0
"Jitter (ms)","KPI from->to",70,6
"Jitter (ms)","KPI from->to",72,0
"Jitter (ms)","KPI from->to",74,0
"Jitter (ms)","KPI from->to",76,0
"Jitter (ms)","KPI from->to",78,0
"Jitter (ms)","KPI from->to",80,1
"Jitter (ms)","KPI from->to",82,4
"Jitter (ms)","KPI from->to",84,3
"Jitter (ms)","KPI from->to",86,2
"Jitter (ms)","KPI from->to",88,1
