"Test Information",Value
"RUN ID",488
"END EXECUTION TIME","2021-05-07 11:02:11"
"SOURCE PROBE NAME",raspberrypi-AAS
"SOURCE PROBE TEST IP ADDRESS",raspberrypi-AAS
"SOURCE PROBE MANAGEMENT IP ADDRESS",raspberrypi-AAS
"SOURCE PROBE GROUP",Administrators
"DESTINATION PROBE NAME",andreas
"DESTINATION PROBE TEST IP ADDRESS",andreas
"DESTINATION PROBE MANAGEMENT IP ADDRESS",andreas
"DESTINATION PROBE GROUP",Administrators
"DESTINATION PROBE LOCATION",
"TEST MODULE",MESH
"TEST TYPE","Network KPI"
"TEST ADDITIONAL INFORMATION"," DSCP Setting: Best Effort"
"TEST DURATION",120
"TEST STATUS",Failed
"FAIL OR ERROR REASON"," Threshold failed on KPI from->to Jitter Max (ms) 
 Threshold failed on KPI from->to Max Delay Variation (ms) 
"

Metric,"Pair Name",Value,"Threshold Type",Threshold,"Status KPI"
"Datagrams Out of Order","KPI from->to",0.0,0,>=,Passed
"Delay (ms)","KPI from->to",3.39,0,<=,Passed
"Jitter (ms)","KPI from->to",1.44,0,<=,Passed
"Jitter Max (ms)","KPI from->to",19.0,0,<=,Failed
Loss,"KPI from->to",0.0,0,<=,Passed
"Max Delay Variation (ms)","KPI from->to",127.0,0,<=,Failed
"Max loss burst","KPI from->to",0.0,0,<=,Passed
MOS,"KPI from->to",4.09,1,<=,Passed
"Wi-Fi RSSI Average","Wi-Fi andreas",-41.0,-1,<=,Passed
"Wi-Fi RSSI Minimum","Wi-Fi andreas",-43.0,-1,<=,Passed
"Wi-Fi RSSI Maximum","Wi-Fi andreas",-36.0,-1,<=,Passed
"Wi-Fi Link Speed Average (Mbps)","Wi-Fi andreas",168.8135593220339,-1,<=,Passed
"Wi-Fi BSSID","Wi-Fi andreas",fc:5b:39:c7:c3:4f,,,Passed
"Wi-Fi SSID","Wi-Fi andreas",eduroam,,,Passed

Metric,"Pair Name",Timestamp,Value
"Max Delay Variation (ms)","KPI from->to",2,20
"Max Delay Variation (ms)","KPI from->to",4,2
"Max Delay Variation (ms)","KPI from->to",6,3
"Max Delay Variation (ms)","KPI from->to",8,2
"Max Delay Variation (ms)","KPI from->to",10,3
"Max Delay Variation (ms)","KPI from->to",12,43
"Max Delay Variation (ms)","KPI from->to",14,2
"Max Delay Variation (ms)","KPI from->to",16,2
"Max Delay Variation (ms)","KPI from->to",18,15
"Max Delay Variation (ms)","KPI from->to",20,4
"Max Delay Variation (ms)","KPI from->to",22,3
"Max Delay Variation (ms)","KPI from->to",24,21
"Max Delay Variation (ms)","KPI from->to",26,3
"Max Delay Variation (ms)","KPI from->to",28,11
"Max Delay Variation (ms)","KPI from->to",30,2
"Max Delay Variation (ms)","KPI from->to",32,2
"Max Delay Variation (ms)","KPI from->to",34,39
"Max Delay Variation (ms)","KPI from->to",36,2
"Max Delay Variation (ms)","KPI from->to",38,4
"Max Delay Variation (ms)","KPI from->to",40,3
"Max Delay Variation (ms)","KPI from->to",42,28
"Max Delay Variation (ms)","KPI from->to",44,3
"Max Delay Variation (ms)","KPI from->to",46,46
"Max Delay Variation (ms)","KPI from->to",48,3
"Max Delay Variation (ms)","KPI from->to",50,15
"Max Delay Variation (ms)","KPI from->to",52,12
"Max Delay Variation (ms)","KPI from->to",54,13
"Max Delay Variation (ms)","KPI from->to",56,38
"Max Delay Variation (ms)","KPI from->to",58,3
"Max Delay Variation (ms)","KPI from->to",60,3
"Max Delay Variation (ms)","KPI from->to",62,17
"Max Delay Variation (ms)","KPI from->to",64,17
"Max Delay Variation (ms)","KPI from->to",66,3
"Max Delay Variation (ms)","KPI from->to",68,36
"Max Delay Variation (ms)","KPI from->to",70,14
"Max Delay Variation (ms)","KPI from->to",72,3
"Max Delay Variation (ms)","KPI from->to",74,15
