"Test Information",Value
"RUN ID",488
"END EXECUTION TIME","2021-05-07 10:59:57"
"SOURCE PROBE NAME",andreas
"SOURCE PROBE TEST IP ADDRESS",andreas
"SOURCE PROBE MANAGEMENT IP ADDRESS",andreas
"SOURCE PROBE GROUP",Administrators
"DESTINATION PROBE NAME",raspberrypi-AAS
"DESTINATION PROBE TEST IP ADDRESS",raspberrypi-AAS
"DESTINATION PROBE MANAGEMENT IP ADDRESS",raspberrypi-AAS
"DESTINATION PROBE GROUP",Administrators
"DESTINATION PROBE LOCATION",
"TEST MODULE",MESH
"TEST TYPE","Network KPI"
"TEST ADDITIONAL INFORMATION"," DSCP Setting: Best Effort"
"TEST DURATION",120
"TEST STATUS",Failed
"FAIL OR ERROR REASON"," Threshold failed on KPI from->to Max Delay Variation (ms) 
"

Metric,"Pair Name",Value,"Threshold Type",Threshold,"Status KPI"
"Datagrams Out of Order","KPI from->to",0.0,0,>=,Passed
"Delay (ms)","KPI from->to",1.13,0,<=,Passed
"Jitter (ms)","KPI from->to",0.17,0,<=,Passed
"Jitter Max (ms)","KPI from->to",4.0,0,<=,Passed
Loss,"KPI from->to",0.02,0,<=,Passed
"Max Delay Variation (ms)","KPI from->to",58.0,0,<=,Failed
"Max loss burst","KPI from->to",1.0,0,<=,Passed
MOS,"KPI from->to",4.25,1,<=,Passed

Metric,"Pair Name",Timestamp,Value
"Delay (ms)","KPI from->to",102,1
"Delay (ms)","KPI from->to",104,1
"Delay (ms)","KPI from->to",106,1
"Delay (ms)","KPI from->to",108,1
"Delay (ms)","KPI from->to",110,1
"Delay (ms)","KPI from->to",112,2
"Delay (ms)","KPI from->to",114,1
"Delay (ms)","KPI from->to",116,1
"Delay (ms)","KPI from->to",118,1
"Delay (ms)","KPI from->to",120,1

Metric,"Pair Name",Timestamp,Value
"Jitter (ms)","KPI from->to",102,0
"Jitter (ms)","KPI from->to",104,0
"Jitter (ms)","KPI from->to",106,0
"Jitter (ms)","KPI from->to",108,0
"Jitter (ms)","KPI from->to",110,0
"Jitter (ms)","KPI from->to",112,1
"Jitter (ms)","KPI from->to",114,0
"Jitter (ms)","KPI from->to",116,0
"Jitter (ms)","KPI from->to",118,0
"Jitter (ms)","KPI from->to",120,0

Metric,"Pair Name",Timestamp,Value
Loss,"KPI from->to",102,0
Loss,"KPI from->to",104,0
Loss,"KPI from->to",106,0
Loss,"KPI from->to",108,0
Loss,"KPI from->to",110,0
Loss,"KPI from->to",112,0
Loss,"KPI from->to",114,0
Loss,"KPI from->to",116,0
Loss,"KPI from->to",118,0
Loss,"KPI from->to",120,0

Metric,"Pair Name",Timestamp,Value
"Max Delay Variation (ms)","KPI from->to",2,1
"Max Delay Variation (ms)","KPI from->to",4,1
"Max Delay Variation (ms)","KPI from->to",6,2
"Max Delay Variation (ms)","KPI from->to",8,1
"Max Delay Variation (ms)","KPI from->to",10,2
"Max Delay Variation (ms)","KPI from->to",12,48
"Max Delay Variation (ms)","KPI from->to",14,2
"Max Delay Variation (ms)","KPI from->to",16,1
"Max Delay Variation (ms)","KPI from->to",18,1
"Max Delay Variation (ms)","KPI from->to",20,2
"Max Delay Variation (ms)","KPI from->to",22,42
"Max Delay Variation (ms)","KPI from->to",24,2
"Max Delay Variation (ms)","KPI from->to",26,1
"Max Delay Variation (ms)","KPI from->to",28,1
"Max Delay Variation (ms)","KPI from->to",30,3
"Max Delay Variation (ms)","KPI from->to",32,1
"Max Delay Variation (ms)","KPI from->to",34,53
"Max Delay Variation (ms)","KPI from->to",36,2
"Max Delay Variation (ms)","KPI from->to",38,2
"Max Delay Variation (ms)","KPI from->to",40,1
"Max Delay Variation (ms)","KPI from->to",42,5
"Max Delay Variation (ms)","KPI from->to",44,38
"Max Delay Variation (ms)","KPI from->to",46,1
"Max Delay Variation (ms)","KPI from->to",48,2
"Max Delay Variation (ms)","KPI from->to",50,3
"Max Delay Variation (ms)","KPI from->to",52,2
"Max Delay Variation (ms)","KPI from->to",54,2
"Max Delay Variation (ms)","KPI from->to",56,32
"Max Delay Variation (ms)","KPI from->to",58,1
"Max Delay Variation (ms)","KPI from->to",60,1
"Max Delay Variation (ms)","KPI from->to",62,1
"Max Delay Variation (ms)","KPI from->to",64,2
"Max Delay Variation (ms)","KPI from->to",66,1
"Max Delay Variation (ms)","KPI from->to",68,41
